b,d,j,bd,cd,cf,de,dg,di,ea,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,ji,bah,bbd
c,d,j,be,cd,cg,de,dg,dj,ea,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbe
c,e,j,bf,cd,ch,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbf
b,d,ba,bf,cd,cf,de,dg,di,eb,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,ji,bah,bbd
c,d,j,bg,ce,ci,de,dh,dj,ea,fd,fe,fj,gd,gh,hg,if,ig,ja,je,jj,baj,bbe
c,d,ba,be,cd,cg,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,ji,bai,bbe
c,e,j,bf,cd,cg,de,dg,dj,ec,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,ji,bai,bbf
c,e,ba,bf,cd,ch,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbf
b,d,ba,bf,cd,cf,de,dg,di,ed,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,ji,bba,bbe
c,e,j,be,cd,cg,de,dg,dj,ec,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,ji,bah,bbf
c,d,ba,be,cd,ch,de,dg,dj,ec,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbe
c,d,ba,be,cd,cg,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,ji,bah,bbf
c,e,j,be,cd,cg,de,dg,dj,ee,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbe
b,d,ba,bf,cd,cf,de,dg,di,ea,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bba,bbd
c,d,bb,bd,ce,ci,de,dh,dj,eb,fd,fe,fj,ge,gh,hg,if,ig,ja,je,ji,baj,bbe
c,f,bb,bg,ce,ci,de,dg,di,ea,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bbb,bbd
c,g,bb,bf,ce,ci,de,dh,dj,ea,fd,fe,fj,gd,gh,hg,if,ig,ja,je,jj,baj,bbe
b,d,j,bd,cd,cf,de,dg,di,eb,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,ji,bah,bbe
b,d,ba,bf,cd,cf,de,dg,di,eb,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbd
b,d,j,bd,cd,cf,de,dg,di,ea,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbd
c,e,j,be,cd,cg,de,dg,dj,ea,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbf
b,d,ba,bd,cd,cf,de,dg,di,eb,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bba,bbe
c,e,ba,be,cd,ch,de,dg,dj,ea,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbf
c,e,ba,bf,cd,cg,de,dg,dj,ee,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbf
c,e,j,bf,cd,ch,de,dg,dj,ec,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,ji,bah,bbf
b,g,j,bf,cd,cf,de,dg,di,eb,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bba,bbe
c,d,ba,be,cd,cg,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbf
c,d,ba,bf,cd,ch,de,dg,dj,ee,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbf
c,g,bb,bd,ce,ci,de,dg,di,ea,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,ji,bbb,bbd
c,d,j,be,cd,cg,de,dh,di,eb,fd,fg,fj,gd,gh,hg,if,ig,ja,jd,jj,bba,bbg
c,e,j,be,cd,ch,de,dg,dj,ec,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbf
b,d,ba,bf,cd,cf,de,dg,di,ea,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbd
c,d,ba,be,cd,ch,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bai,bbf
c,d,ba,bd,cd,ch,de,dg,dj,ed,fc,fh,fj,gf,gh,hg,if,ig,ja,jd,jj,bbb,bbh
c,e,ba,be,cd,ch,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbf
c,d,bb,be,cd,ch,de,dh,di,ee,fd,fg,fj,gd,gh,hg,if,ig,ja,jd,jj,bba,bbg
c,f,bb,bg,ce,ci,de,dg,di,ea,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,ji,bba,bbd
b,d,ba,bd,cd,cf,de,dg,di,ee,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbd
c,d,bb,be,cd,cg,de,dh,di,ed,fd,fg,fj,gd,gh,hg,if,ig,ja,jd,jj,bba,bbg
c,e,j,be,cd,ch,de,dg,dj,ea,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,ji,bah,bbf
c,e,ba,be,cd,cg,de,dg,dj,eb,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,jj,bah,bbe
c,d,ba,be,cd,ch,de,dg,dj,eb,fc,fh,fj,gf,gh,hg,if,ig,ja,jd,ji,bbb,bbh
c,d,bb,bd,ce,ci,de,dg,di,ec,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,ji,bbb,bbd
b,d,ba,bf,cd,cf,de,dg,di,ed,fc,fe,fj,gd,gh,hg,if,ig,ja,jd,jj,bba,bbe
c,d,j,be,cd,cg,de,dg,dj,ee,fc,ff,fj,gd,gh,hg,if,ig,ja,jd,ji,bai,bbf
